sensor-id,sensor-name,latitude,longitude,URL
WWS160,Tuas Rd OD7 (Tuas West Dr),1.329643,103.63311,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS160
WWS162,CCK North OD (Blk 526),1.3911305,103.7420726,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS162
WWS163,Fajar Rd OD (Greenridge Pri Sch),1.386692,103.769443,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS163
WWS165,Chestnut Dr OD (Chestnut Close),1.369055,103.772795,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS165
WWS166,Bukit Batok OD2 (The Madeira),1.357328,103.748966,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS166
WWS168,West Coast OD6 (West Coast Rd),1.313951,103.754804,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS168
WWS170,West Coast OD2 (Waseda Shibuya Sch),1.29703,103.7668894,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS170
WWS171,Bt Purmei OD (AYE/Keppel Rd),1.2727909,103.8324724,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS171
WWS172,Ayer Rajah Ind Est OD (Ayer Rajah Ave),1.297121,103.789981,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS172
WWS183,Tuas South Blvd Ext OD1 (Tuas South Ave 5),1.288865,103.624793,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS183
WWS184,Tuas South Sub OD3 (Tuas South Ave 10),1.285108,103.630608,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS184
WWS187,Tuas Rd OD2 (Tuas Ave 4),1.32597,103.652292,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS187
WWS190,Gul Rd OD1 (Gul Rd),1.297236,103.669609,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS190
WWS231,Neo Tiew OD4 (Neo Tiew Harvest Place),1.420198,103.726537,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS231
WWS235,Neo Tiew OD 2 (Kranji Way),1.438236,103.733622,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS235
WWS283,Sg Ulu Pandan (Waterfront at Faber),1.323817,103.754536,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS283
WWS285,Sg Ulu Pandan (Freesia Woods),1.323302,103.765752,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS285
WWS318,Sg Pang Sua SD E (D/S Culvert),1.412937,103.755555,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS318
